[2026-03-03 22:17:38,024: INFO: main: Logging is implementation]
[2026-03-05 11:33:45,037: INFO: common: yaml file:config\config.yaml loaded sucessesful]
[2026-03-05 11:33:45,042: INFO: common: yaml file:params.yaml loaded sucessesful]
[2026-03-05 11:35:20,660: INFO: common: yaml file:config\config.yaml loaded sucessesful]
[2026-03-05 11:35:20,681: INFO: common: yaml file:params.yaml loaded sucessesful]
[2026-03-05 11:35:47,651: INFO: common: yaml file:config\config.yaml loaded sucessesful]
[2026-03-05 11:35:47,683: INFO: common: yaml file:params.yaml loaded sucessesful]
[2026-03-05 11:40:54,489: INFO: common: yaml file:config\config.yaml loaded sucessesful]
[2026-03-05 11:40:54,493: INFO: common: yaml file:params.yaml loaded sucessesful]
[2026-03-05 11:40:54,495: INFO: common: created dir at:artifacts]
[2026-03-05 11:40:54,500: INFO: common: created dir at:artifacts/data_ingestion]
[2026-03-05 11:42:35,705: INFO: common: yaml file:config\config.yaml loaded sucessesful]
[2026-03-05 11:42:35,710: INFO: common: yaml file:params.yaml loaded sucessesful]
[2026-03-05 11:42:35,714: INFO: common: created dir at:artifacts]
[2026-03-05 11:42:35,718: INFO: common: created dir at:artifacts/data_ingestion]
[2026-03-05 11:44:02,741: INFO: common: yaml file:config\config.yaml loaded sucessesful]
[2026-03-05 11:44:02,746: INFO: common: yaml file:params.yaml loaded sucessesful]
[2026-03-05 11:44:02,748: INFO: common: created dir at:artifacts]
[2026-03-05 11:44:02,752: INFO: common: created dir at:artifacts/data_ingestion]
[2026-03-05 11:44:05,614: INFO: 1538572702: file already downloaded]
[2026-03-05 12:09:00,224: INFO: main: stageData Ingestion stage initiated]
[2026-03-05 12:09:00,227: INFO: common: yaml file:config\config.yaml loaded sucessesful]
[2026-03-05 12:09:00,230: INFO: common: yaml file:params.yaml loaded sucessesful]
[2026-03-05 12:09:00,233: INFO: common: created dir at:artifacts]
[2026-03-05 12:09:00,233: INFO: common: created dir at:artifacts/data_ingestion]
[2026-03-05 12:09:02,646: INFO: Data_ingestion: file already downloaded]
[2026-03-05 12:09:02,995: INFO: main: stageData Ingestion stage completed]
